Match,EpisodeReward,ScoreFor,ScoreAgainst,StepsDone,Epsilon
1,-558.817489,1,1,2259,0.6547
2,-644.884574,1,0,2497,0.6265
3,-738.498221,0,0,2731,0.6002
4,-1287.739323,0,1,2957,0.5759
5,-185.338739,2,1,3199,0.5510
6,-468.306255,1,0,3452,0.5263
7,-306.629445,1,0,3718,0.5016
8,-863.409077,1,1,3987,0.4780
9,-384.148756,1,0,4242,0.4567
10,-763.701368,0,0,4516,0.4350
11,-411.983233,1,0,4813,0.4128
12,-586.756324,0,0,5086,0.3935
13,390.878345,4,1,5388,0.3734
14,-728.399151,0,0,5714,0.3530
15,-569.165658,0,0,6006,0.3358
16,210.294511,2,0,6340,0.3173
17,-313.935130,1,0,6678,0.2999
18,-661.114299,0,0,7001,0.2842
19,-1209.081271,0,1,7299,0.2707
20,27.656675,1,0,7592,0.2581
21,-717.716683,0,0,7906,0.2454
22,-591.194504,0,0,8213,0.2338
23,-676.079307,0,0,8542,0.2221
24,307.101322,2,0,8891,0.2105
25,-556.865517,1,0,9218,0.2003
26,-1017.056200,0,1,9548,0.1907
27,-1089.416146,0,0,9912,0.1809
28,-225.413742,1,0,10333,0.1703
29,-431.058525,1,0,10728,0.1611
30,-1494.313409,0,1,11107,0.1530
31,-772.530318,0,0,11525,0.1448
32,-921.801888,1,1,11939,0.1372
33,-771.538682,0,0,12297,0.1312
34,435.003367,3,1,12688,0.1251
35,-693.657361,1,1,13064,0.1197
36,-484.748495,0,0,13398,0.1152
37,198.211394,2,0,13832,0.1097
38,673.291684,3,0,14252,0.1049
39,28.544857,1,0,14656,0.1007
40,-629.847684,1,1,15070,0.0966
41,-822.047966,0,0,15476,0.0930
42,-1071.288579,0,0,15943,0.0892
43,-1205.123866,0,0,16333,0.0862
44,132.409335,2,0,16757,0.0833
45,734.696815,3,0,17159,0.0807
46,-783.109132,0,0,17556,0.0784
47,-781.006509,2,2,17943,0.0763
48,-342.733693,0,0,18311,0.0744
49,-628.461032,0,0,18717,0.0725
50,-666.619275,0,0,19168,0.0706
51,-1373.082497,1,2,19651,0.0687
52,-879.063348,0,0,20097,0.0671
53,-627.002283,0,0,20469,0.0658
54,-884.473488,1,1,20934,0.0644
55,-1308.287420,1,2,21312,0.0634
56,-799.715653,1,1,21708,0.0624
57,-721.625021,0,0,22119,0.0614
58,-852.970232,0,0,22440,0.0607
59,-1080.242132,0,1,22917,0.0597
60,-114.095856,1,0,23326,0.0589
61,-553.846447,1,0,23741,0.0582
62,-533.637551,1,0,24258,0.0574
63,-626.132672,0,0,24716,0.0568
64,-581.470481,2,1,25082,0.0563
65,-255.111886,1,0,25496,0.0558
66,-1963.326733,0,2,25921,0.0553
67,-938.973252,0,0,26343,0.0549
68,-401.779256,1,0,26721,0.0545
69,-399.408682,1,0,27258,0.0541
70,913.703763,4,0,27674,0.0537
71,-860.367188,0,0,28118,0.0534
72,-1261.350962,0,1,28544,0.0532
73,-131.559590,1,0,28985,0.0529
74,136.532500,2,0,29356,0.0527
75,-861.067700,0,0,29815,0.0524
76,-485.414391,1,0,30375,0.0522
77,-1116.564826,1,2,30754,0.0520
78,520.913351,2,0,31176,0.0519
79,-582.262269,0,0,31642,0.0517
80,-1383.496715,0,1,32099,0.0515
81,2150.892777,5,0,32498,0.0514
82,101.396864,2,0,32976,0.0513
83,662.154299,2,0,33418,0.0512
84,-563.104342,0,0,33789,0.0511
85,-485.540292,0,0,34237,0.0510
86,-538.212868,0,0,34632,0.0509
87,-1155.926533,1,1,35143,0.0508
88,-1091.498384,0,0,35520,0.0508
89,-767.390532,0,0,35889,0.0507
90,-1213.097386,0,1,36392,0.0507
91,-178.050562,0,0,36700,0.0506
92,179.115882,2,0,37132,0.0506
93,-909.017769,1,1,37570,0.0505
94,-844.183128,0,0,38002,0.0505
95,115.715268,2,0,38385,0.0504
96,-452.857965,1,0,38834,0.0504
97,214.276979,2,0,39303,0.0504
98,-410.977862,1,1,39712,0.0503
99,-1099.279532,0,0,40204,0.0503
100,-629.565234,0,0,40606,0.0503
101,32.306983,1,0,41006,0.0503
102,-744.204684,1,0,41413,0.0502
103,271.439743,2,0,41731,0.0502
104,-585.773513,0,0,42062,0.0502
105,-438.020458,0,0,42412,0.0502
106,101.826781,2,1,42811,0.0502
107,-1070.961632,0,0,43137,0.0502
108,-1406.837943,1,2,43583,0.0502
109,-1088.274859,0,1,43967,0.0501
110,985.485465,3,0,44309,0.0501
111,-143.355680,1,0,44772,0.0501
112,-872.492280,0,0,45210,0.0501
113,51.578564,2,0,45576,0.0501
114,-179.616752,1,0,45945,0.0501
115,-689.506465,0,0,46372,0.0501
116,-757.617134,1,1,46820,0.0501
117,-706.359945,0,0,47207,0.0501
118,-561.568542,1,1,47545,0.0501
119,94.434974,2,0,47884,0.0501
120,-315.745925,1,0,48344,0.0501
121,843.978921,4,0,48748,0.0501
122,-470.053504,0,0,49184,0.0501
123,-1616.021009,0,2,49544,0.0500
124,387.941800,3,1,49998,0.0500
125,-975.631225,0,1,50289,0.0500
126,-137.693299,1,0,50676,0.0500
127,827.533292,3,0,51064,0.0500
128,-139.304259,1,0,51325,0.0500
129,791.561080,2,0,51663,0.0500
130,310.033814,2,0,51977,0.0500
131,-766.122953,0,0,52320,0.0500
132,118.684592,2,0,52673,0.0500
133,1008.722120,3,0,53009,0.0500
134,-319.360925,1,0,53407,0.0500
135,371.756929,2,0,53771,0.0500
136,-145.817964,1,0,54125,0.0500
137,-491.506597,0,0,54469,0.0500
138,-934.279361,0,0,54859,0.0500
139,-350.749494,2,1,55232,0.0500
140,392.782786,1,0,55592,0.0500
141,1625.926190,4,0,55977,0.0500
142,-170.129751,1,0,56332,0.0500
143,-295.941200,1,0,56645,0.0500
144,916.707634,3,0,57044,0.0500
145,-801.146042,0,0,57414,0.0500
146,-921.505033,1,1,57787,0.0500
147,95.486772,1,0,58172,0.0500
148,772.134845,4,1,58596,0.0500
149,82.414133,1,0,58920,0.0500
150,-709.099996,1,1,59211,0.0500
151,240.645293,4,2,59594,0.0500
152,-288.379539,1,0,59950,0.0500
153,97.220722,1,0,60285,0.0500
154,-341.042621,1,0,60626,0.0500
155,-896.666453,0,0,61035,0.0500
156,1636.719937,5,0,61387,0.0500
157,-644.245806,0,0,61719,0.0500
158,-519.581885,1,1,62076,0.0500
159,-590.575938,1,0,62415,0.0500
160,659.842658,2,0,62727,0.0500
161,-1531.132170,0,1,63064,0.0500
162,-1800.608037,0,1,63500,0.0500
163,-1918.548166,0,2,63938,0.0500
164,-616.686815,1,0,64323,0.0500
165,-432.610854,1,0,64639,0.0500
166,-34.197691,1,0,64971,0.0500
167,-531.670377,1,1,65258,0.0500
168,-971.147210,0,1,65552,0.0500
169,751.651596,3,0,65900,0.0500
170,-580.965774,0,0,66299,0.0500
171,45.711533,1,0,66667,0.0500
172,415.307336,2,0,66991,0.0500
173,-153.403426,1,1,67331,0.0500
174,-556.503707,0,0,67658,0.0500
175,123.216693,2,1,68037,0.0500
176,-1297.241641,0,1,68361,0.0500
177,-1490.529793,0,1,68740,0.0500
178,-39.135841,1,0,69049,0.0500
179,-916.130374,0,0,69392,0.0500
180,-580.904235,0,0,69703,0.0500
181,-384.106722,0,0,70060,0.0500
182,-354.249924,2,1,70384,0.0500
183,1550.366341,4,0,70671,0.0500
184,1829.933025,5,0,71035,0.0500
185,655.849537,3,0,71337,0.0500
186,-66.344133,3,1,71712,0.0500
187,-494.709716,0,0,72007,0.0500
188,-789.919406,1,1,72331,0.0500
189,1193.929391,3,0,72620,0.0500
190,-446.455815,1,0,72945,0.0500
191,-753.075728,1,0,73228,0.0500
192,49.696201,1,0,73528,0.0500
193,-539.917686,0,0,73918,0.0500
194,-244.809370,2,1,74274,0.0500
195,-34.098302,2,1,74621,0.0500
196,-306.985346,0,0,74930,0.0500
197,-728.786075,1,0,75242,0.0500
198,-1167.488983,0,0,75597,0.0500
